,title,price,original_price,discount,star,review,description
198,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499","₹16,999",14% off,4.2,"20,157 Ratings & 1,684 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera6000 mAh Lithium ion BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
199,"realme 12+ 5G (Navigator Beige, 256 GB)","₹21,999","₹25,999",15% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
200,"realme 12+ 5G (Pioneer Green, 256 GB)","₹21,999","₹25,999",15% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
201,"SAMSUNG Galaxy S23 FE (Purple, 256 GB)","₹49,999","₹84,999",41% off,4.3,"9,896 Ratings & 649 Reviews",8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
202,"POCO X6 5G (Snowstorm White, 256 GB)","₹18,999","₹24,999",24% off,4.2,"12,165 Ratings & 1,466 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
203,"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹6,999","₹8,999",22% off,4.3,744 Ratings & 25 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
204,"CMF by Nothing Phone 1 (Black, 128 GB)","₹17,999","₹21,999",18% off,4.3,"1,733 Ratings & 133 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
205,"Infinix GT 20 Pro (Mecha Blue, 256 GB)","₹25,999","₹34,999",25% off,4.3,"1,862 Ratings & 127 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
206,"realme 12+ 5G (Navigator Beige, 128 GB)","₹20,999","₹23,999",12% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
207,"Apple iPhone 15 Plus (Blue, 128 GB)","₹81,999","₹89,900",8% off,4.6,"7,375 Ratings & 618 Reviews","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
