,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review,rear_camera,front_camera
14,14,"Vivo T3X 5G (Crimson Bliss, 128 Gb)",16499,20499,19,4.4,"8,328 Ratings & 375 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Vivo,Vivo T3X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,8 GB,128 GB,1 TB,Crimson Bliss,6 Gen 1 Processor,6000 mAh Battery,8328,375,50MP,8MP
15,15,"Motorola G64 5G (Pearl Blue, 128 Gb)",14999,17999,16,4.2,"18,729 Ratings & 988 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G64 5G ,50MP (OIS) + 8MP | 16MP Front Camera,16.51,6.5,Full HD+,8 GB,128 GB,1 TB,Pearl Blue,Dimensity 7025 Processor,6000 mAh Battery,18729,988,50MP,16MP
16,16,"Poco C65 (Matte Black, 128 Gb)",6999,10999,36,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Poco,Poco C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Matte Black,Helio G85 Processor,5000 mAh Battery,36708,1960,50MP,8MP
17,17,"Motorola G64 5G (Ice Lilac, 128 Gb)",14999,17999,16,4.2,"18,729 Ratings & 988 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G64 5G ,50MP (OIS) + 8MP | 16MP Front Camera,16.51,6.5,Full HD+,8 GB,128 GB,1 TB,Ice Lilac,Dimensity 7025 Processor,6000 mAh Battery,18729,988,50MP,16MP
18,18,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 Gb)",24999,27999,10,4.5,"19,990 Ratings & 1,343 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB,256 GB,,Marshmallow Blue,7s Gen 2 Processor,5000 mAh Battery,19990,1343,50MP,32MP
19,19,"Motorola G04S (Satin Blue, 64 Gb)",6999,9999,30,4.2,"7,600 Ratings & 422 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G04S ,50MP Rear Camera | 5MP Front Camera,16.76,6.6,HD+,4 GB,64 GB,1 TB,Satin Blue,T606 Processor,5000 mAh Battery,7600,422,50MP,5MP
20,20,"Apple Iphone 15 (Blue, 128 Gb)",71999,79900,9,4.6,"43,305 Ratings & 2,336 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",Apple,Apple Iphone 15 ,48MP + 12MP | 12MP Front Camera,15.49,6.1,Super Retina XDR,6 GB,128 GB,,Blue,A16 Bionic Processor,3349 mAh Battery,43305,2336,48MP,12MP
21,21,"Samsung Galaxy S23 Fe (Mint, 128 Gb)",44999,79999,43,4.3,"9,896 Ratings & 649 Reviews",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung,Samsung Galaxy S23 Fe ,50MP + 12MP | 10MP Front Camera,16.26,6.4,Full HD+,8 GB,128 GB,,Mint,Samsung Exynos 2200 Processor,4500 mAh Battery,9896,649,50MP,10MP
22,22,"Motorola Edge 50 Pro 5G With 68W Charger (Luxe Lavender, 256 Gb)",31999,36999,13,4.4,"20,867 Ratings & 1,831 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Pro 5G With 68W Charger ,50MP + 13MP + 10MP | 50MP Front Camera,17.02,6.7,Full HD+,8 GB,256 GB,,Luxe Lavender,7 Gen 3 Mobile Platform Processor,4500 mAh Battery,20867,1831,50MP,50MP
23,23,"Redmi 13C (Stardust Black, 128 Gb)",7699,11999,35,4.2,"31,262 Ratings & 1,309 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Redmi,Redmi 13C ,50MP Rear Camera | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Stardust Black,Helio G85 Processor,5000 mAh Battery,31262,1309,50MP,8MP
