,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review
119,119,"Infinix HOT 40i (Palm Blue, 256 GB)","₹8,999","₹10,999",18% off,4.1,"11,583 Ratings & 707 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 32MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix HOT 40i ,50MP + AI Lens | 32MP Front Camera,16.76,6.6,HD+,8 GB RAM,256 GB,2 TB,Palm Blue,Unisoc T606 Processor,5000 mAh Battery,"11,583 Ratings",707 Reviews
120,120,"Infinix HOT 40i (Palm Blue, 256 GB)","₹8,999","₹10,999",18% off,4.1,"11,583 Ratings & 707 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 32MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix HOT 40i ,50MP + AI Lens | 32MP Front Camera,16.76,6.6,HD+,8 GB RAM,256 GB,2 TB,Palm Blue,Unisoc T606 Processor,5000 mAh Battery,"11,583 Ratings",707 Reviews
121,121,"REDMI 13C (Stardust Black, 128 GB)","₹8,499","₹13,999",39% off,4.2,"10,033 Ratings & 413 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,REDMI,REDMI 13C ,50MP Rear Camera | 8MP Front Camera,17.12,6.74,HD+,6 GB RAM,128 GB,1 TB,Stardust Black,Helio G85 Processor,5000 mAh Battery,"10,033 Ratings",413 Reviews
122,122,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹60,999","₹95,999",36% off,4.5,"11,289 Ratings & 1,065 Reviews",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,SAMSUNG,SAMSUNG Galaxy S23 5G ,50MP + 10MP + 12MP | 12MP Front Camera,15.49,6.1,Full HD+,8 GB RAM,256 GB,,Cream,Qualcomm Snapdragon 8 Gen 2 Processor,3900 mAh Lithium Ion Battery,"11,289 Ratings","1,065 Reviews"
123,123,"POCO M6 5G (Orion Blue, 256 GB)","₹10,999","₹15,999",31% off,4.2,"13,901 Ratings & 721 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO M6 5G ,50MP Rear Camera | 5MP Front Camera,17.12,6.74,HD+,8 GB RAM,256 GB,1 TB,Orion Blue,Mediatek Dimensity 6100+ Processor,5000 mAh Battery,"13,901 Ratings",721 Reviews
124,124,"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹15,495","₹24,499",36% off,4.2,"3,742 Ratings & 269 Reviews",6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,SAMSUNG,SAMSUNG Galaxy M34 5G without charger ,50MP Rear Camera,16.51,6.5,,6 GB RAM,128 GB,,Prism Silver,,6000 mAh Battery,"3,742 Ratings",269 Reviews
125,125,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹60,999","₹95,999",36% off,4.5,"11,289 Ratings & 1,065 Reviews",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,SAMSUNG,SAMSUNG Galaxy S23 5G ,50MP + 10MP + 12MP | 12MP Front Camera,15.49,6.1,Full HD+,8 GB RAM,256 GB,,Phantom Black,Qualcomm Snapdragon 8 Gen 2 Processor,3900 mAh Lithium Ion Battery,"11,289 Ratings","1,065 Reviews"
126,126,"realme C63 (Jade Green, 128 GB)","₹8,999","₹10,999",18% off,4.3,609 Ratings & 20 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C63 ,50MP Rear Camera | 8MP Front Camera,17.13,6.745,HD+,4 GB RAM,128 GB,2 TB,Jade Green,T612 Processor,5000 mAh Battery,609 Ratings,20 Reviews
127,127,Micromax J3,₹834,"₹1,549",46% off,3.9,"2,000 Ratings & 97 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display800 mAh Battery1 Year Manufacturer Warranty on Product and 6 Month on Box Accessories,Micromax,Micromax J3,0MP | 0MP Front Camera,4.5,1.77,,32 MB RAM,,,Black,,800 mAh Battery,"2,000 Ratings",97 Reviews
128,128,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999","₹27,999",10% off,4.5,"19,990 Ratings & 1,343 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Forest Blue,7s Gen 2 Processor,5000 mAh Battery,"19,990 Ratings","1,343 Reviews"
