,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review
149,149,"Infinix SMART 8 (Galaxy White, 128 GB)","₹7,999","₹10,999",27% off,4.3,"7,642 Ratings & 448 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,8 GB RAM,128 GB,2 TB,Galaxy White,Helio G36 Processor,5000 mAh Battery,"7,642 Ratings",448 Reviews
150,150,"POCO X6 Neo 5G (Horizon Blue, 128 GB)","₹14,999","₹19,999",25% off,4.1,"8,609 Ratings & 738 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO X6 Neo 5G ,108MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,128 GB,1 TB,Horizon Blue,Dimensity 6080 Processor,5000 mAh Battery,"8,609 Ratings",738 Reviews
151,151,"realme 12 Pro+ 5G (Submarine Blue, 256 GB)","₹30,999","₹37,999",18% off,4.4,"5,569 Ratings & 628 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Submarine Blue,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"5,569 Ratings",628 Reviews
152,152,"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹30,999","₹37,999",18% off,4.4,"5,569 Ratings & 628 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Navigator Beige,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"5,569 Ratings",628 Reviews
153,153,"realme 12 Pro+ 5G (Explorer Red, 256 GB)","₹30,999","₹37,999",18% off,4.4,"5,569 Ratings & 628 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Explorer Red,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"5,569 Ratings",628 Reviews
154,154,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,₹829,"₹1,199",30% off,4.0,"5,021 Ratings & 350 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Quarter QVGA Display0MP Front Camera1000 mAh Lithium Ion BatterySpreadtrum Processor12 Month Warranty on Device and 6 Months on Accessories Including Battery,itel,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,0MP Front Camera,4.57,1.8,QVGA,4 MB RAM,,32 GB,Black,Spreadtrum Processor,1000 mAh Lithium Ion Battery,"5,021 Ratings",350 Reviews
155,155,"realme C61 (Marble Black, 128 GB)","₹8,999","₹10,999",18% off,4.4,828 Ratings & 19 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C61 ,32MP Rear Camera | 5MP Front Camera,17.13,6.745,HD+,6 GB RAM,128 GB,2 TB,Marble Black,T612 Processor,5000 mAh Battery,828 Ratings,19 Reviews
156,156,"realme C61 (Safari Green, 128 GB)","₹8,999","₹10,999",18% off,4.4,828 Ratings & 19 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C61 ,32MP Rear Camera | 5MP Front Camera,17.13,6.745,HD+,6 GB RAM,128 GB,2 TB,Safari Green,T612 Processor,5000 mAh Battery,828 Ratings,19 Reviews
157,157,"realme 12 Pro+ 5G (Explorer Red, 256 GB)","₹28,999","₹35,999",19% off,4.4,"16,574 Ratings & 2,144 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Explorer Red,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"16,574 Ratings","2,144 Reviews"
158,158,"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹28,999","₹35,999",19% off,4.4,"16,574 Ratings & 2,144 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Navigator Beige,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"16,574 Ratings","2,144 Reviews"
159,159,"Infinix SMART 8 (Timber Black, 64 GB)","₹7,299","₹8,999",18% off,4.3,"22,055 Ratings & 1,387 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Timber Black,Helio G36 Processor,5000 mAh Battery,"22,055 Ratings","1,387 Reviews"
160,160,"realme NARZO N63 (Leather Blue, 64 GB)","₹8,038","₹9,999",19% off,4.5,111 Ratings & 3 Reviews,4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 year manufacture warranty,realme,realme NARZO N63 ,50MP Rear Camera,17.12,6.74,,4 GB RAM,64 GB,,Leather Blue,,5000 mAh Battery,111 Ratings,3 Reviews
161,161,"realme Narzo N63 4G (Twilight Purple, 128 GB)","₹8,480","₹10,999",22% off,3.9,516 Ratings & 11 Reviews,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic Warranty  1 year for handset and 6 months for accessories.,realme,realme Narzo N63 4G ,50MP Rear Camera,17.12,6.74,,4 GB RAM,128 GB,,Twilight Purple,,5000 mAh Battery,516 Ratings,11 Reviews
162,162,"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)","₹8,249","₹12,999",36% off,4.1,"34,327 Ratings & 1,900 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO M6 5G - Locked with Airtel Prepaid ,50MP Rear Camera | 5MP Front Camera,17.12,6.74,HD+,4 GB RAM,128 GB,1 TB,Polaris Green,Mediatek Dimensity 6100+ Processor,5000 mAh Battery,"34,327 Ratings","1,900 Reviews"
163,163,"Motorola G85 5G (Urban Grey, 256 GB)","₹19,999","₹22,999",13% off,4.5,"1,045 Ratings & 75 Reviews",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G85 5G ,50MP + 8MP | 32MP Front Camera,16.94,6.67,Full HD+,12 GB RAM,256 GB,,Urban Grey,6s Gen 3 Processor,5000 mAh Battery,"1,045 Ratings",75 Reviews
164,164,"realme 12 Pro+ 5G (Submarine Blue, 256 GB)","₹28,999","₹35,999",19% off,4.4,"16,574 Ratings & 2,144 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Submarine Blue,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"16,574 Ratings","2,144 Reviews"
165,165,"realme 12 Pro+ 5G (Submarine Blue, 128 GB)","₹29,999","₹34,999",14% off,4.4,"16,574 Ratings & 2,144 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,128 GB,,Submarine Blue,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"16,574 Ratings","2,144 Reviews"
166,166,"Infinix SMART 8 HD (Galaxy White, 64 GB)","₹6,699","₹7,999",16% off,4.3,"33,272 Ratings & 2,335 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 HD ,13MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,3 GB RAM,64 GB,2 TB,Galaxy White,T606 Processor,5000 mAh Battery,"33,272 Ratings","2,335 Reviews"
167,167,"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹6,699","₹7,999",16% off,4.3,"33,272 Ratings & 2,335 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 HD ,13MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,3 GB RAM,64 GB,2 TB,Shiny Gold,T606 Processor,5000 mAh Battery,"33,272 Ratings","2,335 Reviews"
168,168,"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹28,999","₹35,999",19% off,4.4,"16,574 Ratings & 2,144 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP Front Camera5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro+ 5G ,50MP + 8MP + 64MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Navigator Beige,Snapdragon 7s Gen 2 Processor,5000 mAh Battery,"16,574 Ratings","2,144 Reviews"
169,169,"Infinix SMART 8 (Timber Black, 64 GB)","₹7,299","₹8,999",18% off,4.3,"22,055 Ratings & 1,387 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Timber Black,Helio G36 Processor,5000 mAh Battery,"22,055 Ratings","1,387 Reviews"
170,170,"realme Narzo N63 4G (Twilight Purple, 128 GB)","₹8,483","₹10,999",22% off,3.9,516 Ratings & 11 Reviews,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh BatteryDomestic Warranty  1 year for handset and 6 months for accessories.,realme,realme Narzo N63 4G ,50MP Rear Camera,17.12,6.74,,4 GB RAM,128 GB,,Twilight Purple,,5000 mAh Battery,516 Ratings,11 Reviews
171,171,Kechaoda A26,₹999,"₹1,399",28% off,4.0,"22,131 Ratings & 1,373 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) Display800 mAh BatteryNO WARRANTY,Kechaoda,Kechaoda A26,0MP | 0MP Front Camera,1.68,0.66,,32 MB RAM,,16 GB,Black,,800 mAh Battery,"22,131 Ratings","1,373 Reviews"
172,172,Kechaoda K112,"₹1,499","₹1,999",25% off,4.0,"26,802 Ratings & 2,598 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP Rear Camera3600 mAh Battery1 Year Company Domestic Warranty by Company Authorized Service Center.,Kechaoda,Kechaoda K112,3MP Rear Camera,6.1,2.4,QVGA,32 MB RAM,,32 GB,Black,,3600 mAh Battery,"26,802 Ratings","2,598 Reviews"
173,173,"realme 12+ 5G (Pioneer Green, 128 GB)","₹20,999","₹23,999",12% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12+ 5G ,50MP + 8MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,128 GB,2 TB,Pioneer Green,Dimensity 7050 Processor,5000 mAh Battery,"11,515 Ratings",976 Reviews
174,174,"Infinix GT 20 Pro (Mecha Orange, 256 GB)","₹25,999","₹34,999",25% off,4.3,"1,862 Ratings & 127 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty,Infinix,Infinix GT 20 Pro ,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,17.22,6.78,Full HD+,12 GB RAM,256 GB,,Mecha Orange,Dimensity 8200 Ultimate Processor,5000 mAh Battery,"1,862 Ratings",127 Reviews
175,175,"POCO C65 (Pastel Blue, 256 GB)","₹8,499","₹13,499",37% off,4.2,"9,156 Ratings & 504 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,POCO,POCO C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,8 GB RAM,256 GB,1 TB,Pastel Blue,Helio G85 Processor,5000 mAh Battery,"9,156 Ratings",504 Reviews
176,176,"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)","₹8,249","₹12,999",36% off,4.1,"34,327 Ratings & 1,900 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO M6 5G - Locked with Airtel Prepaid ,50MP Rear Camera | 5MP Front Camera,17.12,6.74,HD+,4 GB RAM,128 GB,1 TB,Polaris Green,Mediatek Dimensity 6100+ Processor,5000 mAh Battery,"34,327 Ratings","1,900 Reviews"
177,177,"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,999","₹19,999",20% off,4.4,"5,842 Ratings & 514 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,CMF,CMF by Nothing Phone 1 ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,6 GB RAM,128 GB,2 TB,Blue,Dimensity 7300 5G Processor,5000 mAh Battery,"5,842 Ratings",514 Reviews
178,178,"realme C65 5G (Feather Green, 128 GB)","₹12,499","₹15,999",21% off,4.4,"4,887 Ratings & 146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C65 5G ,50MP Rear Camera | 8MP Front Camera,16.94,6.67,HD+,6 GB RAM,128 GB,2 TB,Feather Green,Dimensity 6300 Processor,5000 mAh Battery,"4,887 Ratings",146 Reviews
179,179,"CMF by Nothing Phone 1 (Black, 128 GB)","₹15,999","₹19,999",20% off,4.4,"5,842 Ratings & 514 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,CMF,CMF by Nothing Phone 1 ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,6 GB RAM,128 GB,2 TB,Black,Dimensity 7300 5G Processor,5000 mAh Battery,"5,842 Ratings",514 Reviews
180,180,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹17,999","₹21,999",18% off,4.3,"1,733 Ratings & 133 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,CMF,CMF by Nothing Phone 1 ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,128 GB,2 TB,Light Green,Dimensity 7300 5G Processor,5000 mAh Battery,"1,733 Ratings",133 Reviews
181,181,"Apple iPhone 15 Plus (Blue, 128 GB)","₹81,999","₹89,900",8% off,4.6,"7,375 Ratings & 618 Reviews","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",Apple,Apple iPhone 15 Plus ,48MP + 12MP | 12MP Front Camera,17.02,6.7,Super Retina XDR,6 GB RAM,128 GB,,Blue,,,"7,375 Ratings",618 Reviews
182,182,"realme C61 (Marble Black, 128 GB)","₹8,999","₹10,999",18% off,4.4,828 Ratings & 19 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C61 ,32MP Rear Camera | 5MP Front Camera,17.13,6.745,HD+,6 GB RAM,128 GB,2 TB,Marble Black,T612 Processor,5000 mAh Battery,828 Ratings,19 Reviews
183,183,"realme C65 5G (Glowing Black, 128 GB)","₹12,499","₹15,999",21% off,4.4,"4,887 Ratings & 146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme C65 5G ,50MP Rear Camera | 8MP Front Camera,16.94,6.67,HD+,6 GB RAM,128 GB,2 TB,Glowing Black,Dimensity 6300 Processor,5000 mAh Battery,"4,887 Ratings",146 Reviews
184,184,"POCO M6 5G - Locked with Airtel Prepaid (Galactic Black, 128 GB)","₹8,249","₹12,999",36% off,4.1,"34,327 Ratings & 1,900 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,POCO,POCO M6 5G - Locked with Airtel Prepaid ,50MP Rear Camera | 5MP Front Camera,17.12,6.74,HD+,4 GB RAM,128 GB,1 TB,Galactic Black,Mediatek Dimensity 6100+ Processor,5000 mAh Battery,"34,327 Ratings","1,900 Reviews"
185,185,"realme 12+ 5G (Navigator Beige, 256 GB)","₹21,999","₹25,999",15% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12+ 5G ,50MP + 8MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,256 GB,2 TB,Navigator Beige,Dimensity 7050 Processor,5000 mAh Battery,"11,515 Ratings",976 Reviews
186,186,"realme 12+ 5G (Pioneer Green, 256 GB)","₹21,999","₹25,999",15% off,4.3,"11,515 Ratings & 976 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12+ 5G ,50MP + 8MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,256 GB,2 TB,Pioneer Green,Dimensity 7050 Processor,5000 mAh Battery,"11,515 Ratings",976 Reviews
187,187,"REDMI 12 5G (Moonstone Silver, 256 GB)","₹13,999","₹19,999",30% off,4.2,"22,648 Ratings & 1,360 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,REDMI,REDMI 12 5G ,50MP + 2MP | 8MP Front Camera,17.25,6.79,Full HD+,8 GB RAM,256 GB,1 TB,Moonstone Silver,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"22,648 Ratings","1,360 Reviews"
188,188,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,947","₹2,199",11% off,4.2,"4,749 Ratings & 231 Reviews",4 MB RAM | 4 MB ROM6.1 cm (2.4 inch) Display0MP Front Camera1450 mAh Battery6261D Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,Nokia,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",0MP Front Camera,6.1,2.4,,4 MB RAM,,,Black,6261D Processor,1450 mAh Battery,"4,749 Ratings",231 Reviews
189,189,"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)","₹24,499","₹32,999",25% off,4.2,"2,365 Ratings & 218 Reviews",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,REDMI,REDMI Note 13 Pro 5G ,200MP (OIS) + 8MP + 2MP | 16MP Front Camera,16.94,6.67,,12 GB RAM,256 GB,,Midnight Black,7s Gen 2 Mobile Platform 5G Processor,5100 mAh Battery,"2,365 Ratings",218 Reviews
190,190,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,₹829,"₹1,199",30% off,4.0,"5,021 Ratings & 350 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Quarter QVGA Display0MP Front Camera1000 mAh Lithium Ion BatterySpreadtrum Processor12 Month Warranty on Device and 6 Months on Accessories Including Battery,itel,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,0MP Front Camera,4.57,1.8,QVGA,4 MB RAM,,32 GB,Black,Spreadtrum Processor,1000 mAh Lithium Ion Battery,"5,021 Ratings",350 Reviews
191,191,"CMF by Nothing Phone 1 (Blue, 128 GB)","₹17,999","₹21,999",18% off,4.3,"1,733 Ratings & 133 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,CMF,CMF by Nothing Phone 1 ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB RAM,128 GB,2 TB,Blue,Dimensity 7300 5G Processor,5000 mAh Battery,"1,733 Ratings",133 Reviews
192,192,"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)","₹8,376","₹13,999",40% off,4.0,610 Ratings & 22 Reviews,4 GB RAM | 64 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 year for handset and 6 month for accessories,SAMSUNG,SAMSUNG Galaxy M14 4G ,50MP Rear Camera,16.76,6.6,,4 GB RAM,64 GB,,Sapphire Blue,,6000 mAh Battery,610 Ratings,22 Reviews
193,193,"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,999","₹19,999",20% off,4.4,"5,842 Ratings & 514 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,CMF,CMF by Nothing Phone 1 ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,6 GB RAM,128 GB,2 TB,Light Green,Dimensity 7300 5G Processor,5000 mAh Battery,"5,842 Ratings",514 Reviews
194,194,"Infinix SMART 8 HD (Timber Black, 64 GB)","₹6,999","₹8,999",22% off,4.3,744 Ratings & 25 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 HD ,13MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Timber Black,T606 Processor,5000 mAh Battery,744 Ratings,25 Reviews
