,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
176,MOBHFM37FTDRENMH,Redmi,"Redmi Note 13 5G (Chromatic Purple, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD+ Display', '108MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 6080 Processor']",22999.0,18999.0,"{'average': 4.2, 'count': 6258, 'reviewCount': 353, 'breakup': [608, 196, 474, 1349, 3631]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/h/t/-original-imah2582fsyrjnue.jpeg?q=90,Redmi Note 13 5G ,6.67,Full HD+,8,256,Chromatic Purple,Dimensity 6080 Processor,5000,4.2,108,16
177,MOBGYBAVW8HTJH4X,Samsung,"Samsung Galaxy F15 5G (Groovy Violet, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 5MP + 2MP | 13MP Front Camera', '6000 mAh Lithium ion Battery', 'MediaTek Dimensity 6100+ Processor']",16999.0,14499.0,"{'average': 4.2, 'count': 21952, 'reviewCount': 1808, 'breakup': [1761, 702, 1621, 5260, 12608]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/r/b/j/-original-imah3agqepywexex.jpeg?q=90,Samsung Galaxy F15 5G ,6.5,Full HD+,6,128,Groovy Violet,MediaTek Dimensity 6100+ Processor,6000,4.2,50,13
179,MOBGYBAVKWJWSNNQ,Samsung,"Samsung Galaxy F15 5G (Jazzy Green, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 5MP + 2MP | 13MP Front Camera', '6000 mAh Lithium ion Battery', 'MediaTek Dimensity 6100+ Processor']",16999.0,14499.0,"{'average': 4.2, 'count': 21952, 'reviewCount': 1808, 'breakup': [1761, 702, 1621, 5260, 12608]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/e/l/-original-imah3agqmmzap5gx.jpeg?q=90,Samsung Galaxy F15 5G ,6.5,Full HD+,6,128,Jazzy Green,MediaTek Dimensity 6100+ Processor,6000,4.2,50,13
180,MOBHYP4XSAXZEHDC,Infinix,"Infinix Gt 20 Pro (Mecha Blue, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '108MP (OIS) + 2MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 8200 Ultimate Processor']",34999.0,25999.0,"{'average': 4.2, 'count': 2619, 'reviewCount': 169, 'breakup': [248, 82, 154, 464, 1671]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/p/x/-original-imahf38d4cwmuqep.jpeg?q=90,Infinix Gt 20 Pro ,6.78,Full HD+,12,256,Mecha Blue,Dimensity 8200 Ultimate Processor,5000,4.2,108,32
181,MOBHYP4XGQJ349CG,Infinix,"Infinix Gt 20 Pro (Mecha Orange, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '108MP (OIS) + 2MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 8200 Ultimate Processor']",34999.0,25999.0,"{'average': 4.2, 'count': 2619, 'reviewCount': 169, 'breakup': [248, 82, 154, 464, 1671]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/1/n/a/-original-imahf38d9qynp6ef.jpeg?q=90,Infinix Gt 20 Pro ,6.78,Full HD+,12,256,Mecha Orange,Dimensity 8200 Ultimate Processor,5000,4.2,108,32
187,MOBGZSU4BBYYMSEV,Realme,"Realme P1 5G (Phoenix Red, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",21999.0,16999.0,"{'average': 4.3, 'count': 13738, 'reviewCount': 746, 'breakup': [831, 295, 879, 3134, 8599]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/y/9/0/-original-imahyuhfg2z4fvyh.jpeg?q=90,Realme P1 5G ,6.67,Full HD+,8,128,Phoenix Red,Dimensity 7050 Processor,5000,4.3,50,16
188,MOBGRMFK4CSR7GGH,Redmi,"Redmi 12 (Moonstone Silver, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 8MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G88 Processor']",15999.0,9999.0,"{'average': 4.2, 'count': 51610, 'reviewCount': 3379, 'breakup': [4228, 1835, 4489, 11165, 29893]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/j/n/-original-imags37gyajqxkgp.jpeg?q=90,Redmi 12 ,6.79,Full HD+,6,128,Moonstone Silver,Helio G88 Processor,5000,4.2,50,8
191,MOBGYQ6BMZHJBQSN,Realme,"Realme P1 5G (Peacock Green, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",22999.0,18999.0,"{'average': 4.3, 'count': 13738, 'reviewCount': 746, 'breakup': [831, 295, 879, 3134, 8599]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/j/b/n/-original-imahyuhfzvybhaat.jpeg?q=90,Realme P1 5G ,6.67,Full HD+,8,256,Peacock Green,Dimensity 7050 Processor,5000,4.3,50,16
192,MOBGYQ6BXSENZRV3,Realme,"Realme P1 5G (Phoenix Red, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",20999.0,15999.0,"{'average': 4.3, 'count': 25294, 'reviewCount': 1572, 'breakup': [1328, 596, 1734, 6110, 15526]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/y/9/0/-original-imahyuhfg2z4fvyh.jpeg?q=90,Realme P1 5G ,6.67,Full HD+,6,128,Phoenix Red,Dimensity 7050 Processor,5000,4.3,50,16
194,MOBGWH8S46ZD2ZGH,Realme,"Realme 12 Pro 5G (Navigator Beige, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",29999.0,22999.0,"{'average': 4.4, 'count': 22734, 'reviewCount': 2171, 'breakup': [1133, 465, 1241, 4971, 14924]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/p/y/12-pro-5g-rmx3842-realme-original-imagxgnhafyjz8rb.jpeg?q=90,Realme 12 Pro 5G ,6.7,Full HD+,8,128,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000,4.4,50,16
195,MOBGW9FEHEYNW7ZR,Poco,"Poco M6 5G (Galactic Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",12999.0,8999.0,"{'average': 4.1, 'count': 40737, 'reviewCount': 2160, 'breakup': [4075, 1705, 3624, 8097, 23236]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/h/b/r/-original-imagytcpcnjbduwh.jpeg?q=90,Poco M6 5G ,6.74,HD+,4,128,Galactic Black,Mediatek Dimensity 6100+ Processor,5000,4.1,50,5
196,MOBGY2JU53P3KMG9,Motorola,"Motorola G64 5G (Pearl Blue, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '6000 mAh Battery', 'Dimensity 7025 Processor']",17999.0,14999.0,"{'average': 4.2, 'count': 25128, 'reviewCount': 1340, 'breakup': [1851, 710, 1766, 6222, 14579]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/c/x/q/g64-5g-pb2e0002in-motorola-original-imagzzd4ewmjhyfx.jpeg?q=90,Motorola G64 5G ,6.5,Full HD+,8,128,Pearl Blue,Dimensity 7025 Processor,6000,4.2,50,16
197,MOBH2YYDKPR78SNJ,Realme,"Realme 13 Pro+ 5G (Monet Gold, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",36999.0,32999.0,"{'average': 4.5, 'count': 1254, 'reviewCount': 137, 'breakup': [59, 24, 58, 241, 872]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/r/u/k/-original-imah38dbzpraunnj.jpeg?q=90,Realme 13 Pro+ 5G ,6.7,Full HD+,8,256,Monet Gold,Snapdragon 7s Gen2 Processor,5200,4.5,50,32
198,MOBGRMFK2MGRNG4Q,Redmi,"Redmi 12 (Moonstone Silver, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 8MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G88 Processor']",14999.0,9499.0,"{'average': 4.3, 'count': 104496, 'reviewCount': 5525, 'breakup': [6602, 3209, 8046, 21463, 65176]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/j/n/-original-imags37gyajqxkgp.jpeg?q=90,Redmi 12 ,6.79,Full HD+,4,128,Moonstone Silver,Helio G88 Processor,5000,4.3,50,8
199,MOBHY9R9QYTYJZ92,Infinix,"Infinix Smart 8 Hd (Crystal Green, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 8MP Front Camera', '5000 mAh Battery', 'T606 Processor']",8999.0,6999.0,"{'average': 4.3, 'count': 976, 'reviewCount': 35, 'breakup': [73, 37, 69, 181, 616]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/k/r/-original-imagwfffv4dj3x4y.jpeg?q=90,Infinix Smart 8 Hd ,6.6,HD+,4,64,Crystal Green,T606 Processor,5000,4.3,13,8
204,MOBHY5Y35WVKHFXK,Tecno,"Tecno Spark 20C (Magic Skin Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 512 GB', '16.76 cm (6.6 inch) HD Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor']",10499.0,7999.0,"{'average': 4.2, 'count': 176, 'reviewCount': 5, 'breakup': [16, 10, 11, 33, 106]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/u/u/spark-20c-bg7-tecno-original-imah2fdfznuyy4py.jpeg?q=90,Tecno Spark 20C ,6.6,HD,8,128,Magic Skin Green,Helio G36 Processor,5000,4.2,50,8
205,MOBH2Q4PGJCZZGT5,Oppo,"Oppo K12X 5G With 45W Supervooc Charger In-The-Box (Breeze Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) HD Display', '32MP + 2MP | 8MP Front Camera', '5100 mAh Battery', 'Dimensity 6300 Processor']",18999.0,15999.0,"{'average': 4.5, 'count': 3757, 'reviewCount': 100, 'breakup': [203, 88, 171, 508, 2787]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/e/3/-original-imah37gwn2xbvzhy.jpeg?q=90,Oppo K12X 5G With 45W Supervooc Charger In-The-Box ,6.67,HD,8,256,Breeze Blue,Dimensity 6300 Processor,5100,4.5,32,8
206,MOBH2Q4PGAVECMVA,Oppo,"Oppo K12X 5G With 45W Supervooc Charger In-The-Box (Midnight Voilet, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) HD Display', '32MP + 2MP | 8MP Front Camera', '5100 mAh Battery', 'Dimensity 6300 Processor']",18999.0,15999.0,"{'average': 4.5, 'count': 3757, 'reviewCount': 100, 'breakup': [203, 88, 171, 508, 2787]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/s/m/0/-original-imah37gw2wv2ayrf.jpeg?q=90,Oppo K12X 5G With 45W Supervooc Charger In-The-Box ,6.67,HD,8,256,Midnight Voilet,Dimensity 6300 Processor,5100,4.5,32,8
207,MOBGSXD7TZZTJQXE,Samsung,"Samsung Galaxy S21 Fe 5G With Snapdragon 888 (Olive, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '16.26 cm (6.4 inch) Full HD+ Display', '12MP + 12MP + 8MP (OIS) | 32MP Front Camera', '4500 mAh Lithium-ion Battery', 'Snapdragon 888 Processor']",74999.0,27889.0,"{'average': 4.3, 'count': 145342, 'reviewCount': 13848, 'breakup': [10508, 3184, 8503, 32277, 90870]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/j/t/l/galaxy-s21-fe-5g-sm-g990blg4ins-samsung-original-imah3nsvxpssscxu.jpeg?q=90,Samsung Galaxy S21 Fe 5G With Snapdragon 888 ,6.4,Full HD+,8,256,Olive,Snapdragon 888 Processor,3279,4.3,8,32
213,MOBH2MFGRGQWVTVG,Poco,"Poco M6 5G (Orion Blue, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",11999.0,8499.0,"{'average': 4.1, 'count': 40737, 'reviewCount': 2160, 'breakup': [4075, 1705, 3624, 8097, 23236]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/v/b/-original-imagytcpqznwrvse.jpeg?q=90,Poco M6 5G ,6.74,HD+,4,64,Orion Blue,Mediatek Dimensity 6100+ Processor,5000,4.1,50,5
216,MOBGHW44PRZ8WP2M,Google,"Google Pixel 7 (Snow, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.0 cm (6.3 inch) Full HD+ Display', '50MP + 12MP | 10.8MP Front Camera', '4270 mAh Battery', 'Google Tensor G2 Processor']",59999.0,32999.0,"{'average': 4.3, 'count': 15552, 'reviewCount': 1818, 'breakup': [1398, 321, 790, 2937, 10106]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/x/9/-original-imaggsudg5fufyte.jpeg?q=90,Google Pixel 7 ,6.3,Full HD+,8,128,Snow,Google Tensor G2 Processor,4270,4.3,50,8
217,MOBGHW44ZSN5EPGU,Google,"Google Pixel 7 (Lemongrass, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.0 cm (6.3 inch) Full HD+ Display', '50MP + 12MP | 10.8MP Front Camera', '4270 mAh Battery', 'Google Tensor G2 Processor']",59999.0,32999.0,"{'average': 4.3, 'count': 15552, 'reviewCount': 1818, 'breakup': [1398, 321, 790, 2937, 10106]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/2/y/-original-imaggswcffkgcupp.jpeg?q=90,Google Pixel 7 ,6.3,Full HD+,8,128,Lemongrass,Google Tensor G2 Processor,4270,4.3,50,8
218,MOBGWH8SSGEEZRDA,Realme,"Realme 12 Pro 5G (Navigator Beige, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",31999.0,24999.0,"{'average': 4.4, 'count': 22734, 'reviewCount': 2171, 'breakup': [1133, 465, 1241, 4971, 14924]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/p/y/12-pro-5g-rmx3842-realme-original-imagxgnhafyjz8rb.jpeg?q=90,Realme 12 Pro 5G ,6.7,Full HD+,8,256,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000,4.4,50,16
219,MOBGWH8SBYXG332N,Realme,"Realme 12 Pro 5G (Submarine Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",31999.0,24999.0,"{'average': 4.4, 'count': 22734, 'reviewCount': 2171, 'breakup': [1133, 465, 1241, 4971, 14924]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/x/c/-original-imagx6rdpmhuq5ba.jpeg?q=90,Realme 12 Pro 5G ,6.7,Full HD+,8,256,Submarine Blue,Snapdragon 6 Gen 1 Processor,5000,4.4,50,16
220,MOBGYQ6BCRKRFYUB,Realme,"Realme 12 Pro 5G (Submarine Blue, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",33999.0,24999.0,"{'average': 4.4, 'count': 6675, 'reviewCount': 375, 'breakup': [366, 130, 369, 1363, 4447]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/l/x/c/-original-imagx6rdpmhuq5ba.jpeg?q=90,Realme 12 Pro 5G ,6.7,Full HD+,12,256,Submarine Blue,Snapdragon 6 Gen 1 Processor,5000,4.4,50,16
221,MOBGYQ6BVDHRJRSG,Realme,"Realme 12 Pro 5G (Navigator Beige, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 6 Gen 1 Processor']",33999.0,24999.0,"{'average': 4.4, 'count': 6675, 'reviewCount': 375, 'breakup': [366, 130, 369, 1363, 4447]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/p/y/12-pro-5g-rmx3842-realme-original-imagxgnhafyjz8rb.jpeg?q=90,Realme 12 Pro 5G ,6.7,Full HD+,12,256,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000,4.4,50,16
224,MOBH2YYDXZKBWZ7J,Realme,"Realme 13 Pro+ 5G (Emerald Green, 512 Gb)",IN_STOCK,"['12 GB RAM | 512 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",40999.0,36999.0,"{'average': 4.5, 'count': 741, 'reviewCount': 62, 'breakup': [39, 16, 28, 132, 526]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/2/s/y/-original-imah38dbntayzhpk.jpeg?q=90,Realme 13 Pro+ 5G ,6.7,Full HD+,12,512,Emerald Green,Snapdragon 7s Gen2 Processor,5200,4.5,50,32
226,MOBGRMFKKGYD9ETX,Redmi,"Redmi 12 (Pastel Blue, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 8MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G88 Processor']",14999.0,9499.0,"{'average': 4.3, 'count': 104496, 'reviewCount': 5525, 'breakup': [6602, 3209, 8046, 21463, 65176]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg?q=90,Redmi 12 ,6.79,Full HD+,4,128,Pastel Blue,Helio G88 Processor,5000,4.3,50,8
227,MOBH2YYDPDGZC4TP,Realme,"Realme 13 Pro 5G (Monet Purple, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",30999.0,28999.0,"{'average': 4.3, 'count': 1143, 'reviewCount': 76, 'breakup': [92, 21, 59, 221, 750]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/o/k/d/-original-imah38dbstbwqv2a.jpeg?q=90,Realme 13 Pro 5G ,6.7,Full HD+,8,256,Monet Purple,Snapdragon 7s Gen2 Processor,5200,4.3,50,32
228,MOBH32GA54AHG82H,Realme,"Realme 13 Pro 5G (Emerald Green, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",30999.0,28999.0,"{'average': 4.3, 'count': 1143, 'reviewCount': 76, 'breakup': [92, 21, 59, 221, 750]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/y/i/o/-original-imah38pygcppb7tz.jpeg?q=90,Realme 13 Pro 5G ,6.7,Full HD+,8,256,Emerald Green,Snapdragon 7s Gen2 Processor,5200,4.3,50,32
229,MOBH2YYDHZS2KAYA,Realme,"Realme 13 Pro 5G (Monet Gold, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",30999.0,28999.0,"{'average': 4.3, 'count': 1143, 'reviewCount': 76, 'breakup': [92, 21, 59, 221, 750]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/d/x/-original-imah38dbgt2t8jez.jpeg?q=90,Realme 13 Pro 5G ,6.7,Full HD+,8,256,Monet Gold,Snapdragon 7s Gen2 Processor,5200,4.3,50,32
230,MOBHYN4FM2SNYKY6,Nothing,"Nothing Phone (2A) 5G (Special Edition, 256 Gb)",OUT_OF_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP (OIS) + 50MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Pro Processor']",29999.0,27999.0,"{'average': 4.4, 'count': 6686, 'reviewCount': 645, 'breakup': [404, 131, 331, 1316, 4504]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/4/g/g/-original-imahfaxfwbz84k6z.jpeg?q=90,Nothing Phone ,6.7,Full HD+,12,256,Special Edition,Dimensity 7200 Pro Processor,5000,4.4,50,32
234,MOBGHW44HHEMNGHW,Google,"Google Pixel 7 Pro (Snow, 128 Gb)",OUT_OF_STOCK,"['12 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Quad HD+ Display', '50MP + 48MP + 12MP | 10.8MP Front Camera', '4926 mAh Battery', 'Google Tensor G2 Processor']",84999.0,44999.0,"{'average': 4.3, 'count': 6171, 'reviewCount': 803, 'breakup': [634, 116, 244, 898, 4279]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/b/p/s/-original-imaggsuemmztbghp.jpeg?q=90,Google Pixel 7 Pro ,6.7,HD+,12,128,Snow,Google Tensor G2 Processor,4926,4.3,50,8
237,MOBHY5Y3RWYFKS5Y,Tecno,"Tecno Spark 20C (Mystery White, 128 Gb)",OUT_OF_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 512 GB', '16.76 cm (6.6 inch) HD Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor']",10499.0,8299.0,"{'average': 4.2, 'count': 176, 'reviewCount': 5, 'breakup': [16, 10, 11, 33, 106]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/b/x/spark-20c-bg7-tecno-original-imah2fdjjbqcjsaq.jpeg?q=90,Tecno Spark 20C ,6.6,HD,8,128,Mystery White,Helio G36 Processor,5000,4.2,50,8
239,MOBGS7K3BFTXMMGG,Redmi,"Redmi 12 5G (Pastel Blue, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor']",17999.0,12499.0,"{'average': 4.2, 'count': 48727, 'reviewCount': 2186, 'breakup': [3447, 1585, 4022, 10861, 28812]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/0/4/-original-imagxaqu3samghjd.jpeg?q=90,Redmi 12 5G ,6.79,Full HD+,6,128,Pastel Blue,Snapdragon 4 Gen 2 Processor,5000,4.2,50,8
240,MOBGXTV9GHFS38NM,Poco,"Poco C65 (Pastel Green, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + AI Lens + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",13499.0,9499.0,"{'average': 4.2, 'count': 10235, 'reviewCount': 552, 'breakup': [792, 365, 865, 2025, 6188]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/1/p/-original-imagy2v5kfnq97xn.jpeg?q=90,Poco C65 ,6.74,HD+,8,256,Pastel Green,Helio G85 Processor,5000,4.2,50,8
242,MOBH2YYDGMVXZDHK,Realme,"Realme 13 Pro+ 5G (Emerald Green, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",36999.0,32999.0,"{'average': 4.5, 'count': 1254, 'reviewCount': 137, 'breakup': [59, 24, 58, 241, 872]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/2/s/y/-original-imah38dbntayzhpk.jpeg?q=90,Realme 13 Pro+ 5G ,6.7,Full HD+,8,256,Emerald Green,Snapdragon 7s Gen2 Processor,5200,4.5,50,32
243,MOBH32GAGWVMUFQV,Realme,"Realme 13 Pro 5G (Emerald Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",28999.0,26999.0,"{'average': 4.3, 'count': 1143, 'reviewCount': 76, 'breakup': [92, 21, 59, 221, 750]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/y/i/o/-original-imah38pygcppb7tz.jpeg?q=90,Realme 13 Pro 5G ,6.7,Full HD+,8,128,Emerald Green,Snapdragon 7s Gen2 Processor,5200,4.3,50,32
244,MOBH2YYDZJZA3ZXH,Realme,"Realme 13 Pro 5G (Monet Gold, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5200 mAh Battery', 'Snapdragon 7s Gen2 Processor']",28999.0,26999.0,"{'average': 4.3, 'count': 1143, 'reviewCount': 76, 'breakup': [92, 21, 59, 221, 750]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/q/d/x/-original-imah38dbgt2t8jez.jpeg?q=90,Realme 13 Pro 5G ,6.7,Full HD+,8,128,Monet Gold,Snapdragon 7s Gen2 Processor,5200,4.3,50,32
