,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
15,MOBHY3B2HMHHZEGB,Redmi,"Redmi 13C 5G (Starlight Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",13999.0,10499.0,"{'average': 4.3, 'count': 16235, 'reviewCount': 533, 'breakup': [1076, 503, 1266, 3340, 10050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/q/5/-original-imahfkf6jcuhhzyb.jpeg?q=90,Redmi 13C 5G ,6.74,HD+,4,128,Starlight Black,Mediatek Dimensity 6100+ Processor,5000,4.3,50,5
16,MOBGW4HKUXHFDYU2,Redmi,"Redmi 13C (Starshine Green, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",11999.0,7699.0,"{'average': 4.3, 'count': 37776, 'reviewCount': 1552, 'breakup': [2423, 1232, 3218, 8410, 22493]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/6/r/-original-imahfk4xenbzxwrh.jpeg?q=90,Redmi 13C ,6.74,HD+,4,128,Starshine Green,Helio G85 Processor,5000,4.3,50,8
17,MOBHFRKR6GDPTHFW,Realme,"Realme C63 (Jade Green, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor']",10999.0,8999.0,"{'average': 4.3, 'count': 1529, 'reviewCount': 65, 'breakup': [90, 49, 100, 333, 957]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/c/a/r/-original-imah2pgpfmeadck9.jpeg?q=90,Realme C63 ,6.745,HD+,4,128,Jade Green,T612 Processor,5000,4.3,50,8
18,MOBGVVTXBXRRZEUK,Poco,"Poco C65 (Matte Black, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + AI Lens + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",11999.0,7499.0,"{'average': 4.2, 'count': 16377, 'reviewCount': 763, 'breakup': [1099, 546, 1405, 3814, 9513]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/i/k/k/c65-mzb0g8rin-poco-original-imagw6gyhhu7hur5.jpeg?q=90,Poco C65 ,6.74,HD+,6,128,Matte Black,Helio G85 Processor,5000,4.2,50,8
19,MOBGZRNEQGWCCN4D,Vivo,"Vivo T3X 5G (Crimson Bliss, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",17499.0,13499.0,"{'average': 4.5, 'count': 15016, 'reviewCount': 467, 'breakup': [672, 354, 796, 2565, 10629]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/w/3/4/-original-imahyytukhkky5ew.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,4,128,Crimson Bliss,6 Gen 1 Processor,6000,4.5,50,8
21,MOBGVTA2GRVRXVFR,Samsung,"Samsung Galaxy S23 Fe (Mint, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.26 cm (6.4 inch) Full HD+ Display', '50MP + 12MP | 10MP Front Camera', '4500 mAh Battery', 'Samsung Exynos 2200 Processor']",79999.0,39999.0,"{'average': 4.3, 'count': 13046, 'reviewCount': 869, 'breakup': [1046, 309, 723, 2642, 8326]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/c/s/-original-imagztn7sycc4h84.jpeg?q=90,Samsung Galaxy S23 Fe ,6.4,Full HD+,8,128,Mint,Samsung Exynos 2200 Processor,4500,4.3,50,10
22,MOBGUFK4TZ2CJYHJ,Motorola,"Motorola G34 5G (Ocean Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 5G Processor', 'Vegan Leather Design']",14999.0,11999.0,"{'average': 4.2, 'count': 118235, 'reviewCount': 8098, 'breakup': [8849, 3488, 9386, 28626, 67886]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=90,Motorola G34 5G ,6.5,HD+,8,128,Ocean Green,Snapdragon 695 5G Processor,5000,4.2,50,16
23,MOBGXTYZZBUPYFEC,Motorola,"Motorola Edge 50 Fusion (Hot Pink, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 13MP | 32MP Front Camera', '5000 mAh Battery', '7s Gen 2 Processor']",27999.0,24999.0,"{'average': 4.4, 'count': 31654, 'reviewCount': 2171, 'breakup': [1832, 590, 1351, 5809, 22072]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/i/k/l/edge-50-fusion-pb300001in-motorola-original-imahywzpfd2jh9ep.jpeg?q=90,Motorola Edge 50 Fusion ,6.7,Full HD+,12,256,Hot Pink,7s Gen 2 Processor,5000,4.4,50,32
24,MOBHY3B2EE7WXNHJ,Redmi,"Redmi 13C 5G (Startrail Silver, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",13999.0,10499.0,"{'average': 4.3, 'count': 16235, 'reviewCount': 533, 'breakup': [1076, 503, 1266, 3340, 10050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/d/f/0/-original-imahfkf6uyxnvmcy.jpeg?q=90,Redmi 13C 5G ,6.74,HD+,4,128,Startrail Silver,Mediatek Dimensity 6100+ Processor,5000,4.3,50,5
25,MOBGZZCDPBFWUMWG,Vivo,"Vivo T3X 5G (Celestial Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor']",20499.0,16499.0,"{'average': 4.4, 'count': 10559, 'reviewCount': 505, 'breakup': [518, 233, 617, 2178, 7013]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/g/j/t3x-5g-v2338-vivo-original-imahyyzaqhgwzfup.jpeg?q=90,Vivo T3X 5G ,6.72,Full HD+,8,128,Celestial Green,6 Gen 1 Processor,6000,4.4,50,8
